contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDate,T,impliedVolatilityNoAssumptions,moneyness
MSFT250703C00320000,2025-06-20 19:29:35+00:00,320.0,156.55,171.1,173.8,0.0,0.0,1.0,1.0,1.1328168359375002,True,REGULAR,USD,2025-07-03,8.0,2.57580249493259e+19,0.6500497839430804
MSFT250703C00325000,2025-06-20 18:27:59+00:00,325.0,154.14,166.1,168.8,0.0,0.0,1.0,1.0,1.0957076464843751,True,REGULAR,USD,2025-07-03,8.0,2.1383791993740938e+47,0.6602068118171911
MSFT250703C00350000,2025-06-25 15:34:34+00:00,350.0,142.85,140.85,144.45,13.800003,10.693531,38.0,2013.0,1.013676806640625,True,REGULAR,USD,2025-07-03,8.0,-261370949148258.9,0.7109919511877443
MSFT250703C00355000,2025-06-12 14:35:30+00:00,355.0,122.17,136.15,138.85,0.0,0.0,1.0,2.0,0.911133701171875,True,REGULAR,USD,2025-07-03,8.0,9891789.694399454,0.7211489790618549
MSFT250703C00360000,2025-06-23 14:03:02+00:00,360.0,116.39,131.15,133.7,0.0,0.0,1.0,1398.0,0.8339860351562498,True,REGULAR,USD,2025-07-03,8.0,27319.150890753615,0.7313060069359655
MSFT250703C00365000,2025-06-23 14:48:13+00:00,365.0,112.31,126.15,128.75,0.0,0.0,1.0,2.0,0.8164080859374999,True,REGULAR,USD,2025-07-03,8.0,14771.613430856067,0.7414630348100761
MSFT250703C00370000,2025-05-28 13:58:18+00:00,370.0,93.1,121.5,124.25,0.0,0.0,1.0,1.0,0.9321295849609376,True,REGULAR,USD,2025-07-03,8.0,-0.13963266582556336,0.7516200626841868
MSFT250703C00375000,2025-06-05 14:42:18+00:00,375.0,94.0,116.45,119.15,0.0,0.0,10.0,11.0,0.8754895263671875,True,REGULAR,USD,2025-07-03,8.0,-0.11266048049300169,0.7617770905582975
MSFT250703C00380000,2025-06-25 19:53:42+00:00,380.0,112.69,111.15,114.05,6.6399994,6.2611966,5.0,9.0,0.7797873583984375,True,REGULAR,USD,2025-07-03,8.0,0.002244115723043616,0.7719341184324081
MSFT250703C00385000,2025-06-20 19:52:48+00:00,385.0,93.37,106.4,109.25,0.0,0.0,11.0,14.0,0.8081073876953124,True,REGULAR,USD,2025-07-03,8.0,-935.4721832893672,0.7820911463065187
MSFT250703C00390000,2025-06-25 16:35:25+00:00,390.0,102.04,101.6,104.5,5.3899994,5.5768228,2.0,10.0,0.8183611914062499,True,REGULAR,USD,2025-07-03,8.0,2.19945602670091e+100,0.7922481741806293
MSFT250703C00395000,2025-06-20 19:39:26+00:00,395.0,83.26,96.55,99.7,0.0,0.0,5.0,17.0,0.7939473730468749,True,REGULAR,USD,2025-07-03,8.0,-284.54459615961343,0.80240520205474
MSFT250703C00400000,2025-06-25 15:52:39+00:00,400.0,92.35,91.6,94.6,0.7200012,0.78577024,4.0,34.0,0.75195560546875,True,REGULAR,USD,2025-07-03,8.0,1.8037673425179715e+17,0.8125622299288506
MSFT250703C00405000,2025-06-25 13:43:23+00:00,405.0,89.19,86.8,89.2,2.4400024,2.8126829,1.0,4.0,0.6972686523437501,True,REGULAR,USD,2025-07-03,8.0,4.627079505983749e+17,0.8227192578029612
MSFT250703C00410000,2025-06-24 14:53:31+00:00,410.0,79.69,81.95,83.95,0.0,0.0,1500.0,4054.0,0.6518589501953126,True,REGULAR,USD,2025-07-03,8.0,-2.205405021243664e+25,0.8328762856770718
MSFT250703C00415000,2025-06-24 19:59:04+00:00,415.0,76.19,76.6,79.5,0.0,0.0,13.0,23.0,0.631839619140625,True,REGULAR,USD,2025-07-03,8.0,-1704.00339589384,0.8430333135511825
MSFT250703C00420000,2025-06-25 14:14:28+00:00,420.0,72.67,71.6,74.3,5.0599976,7.4840965,4.0,12.0,0.5798381860351562,True,REGULAR,USD,2025-07-03,8.0,-2.6502975613334066e+172,0.8531903414252932
MSFT250703C00425000,2025-06-25 15:28:35+00:00,425.0,68.6,66.6,69.6,1.159996,1.7200415,2.0,84.0,0.5656781713867188,True,REGULAR,USD,2025-07-03,8.0,-2896963943190366.0,0.8633473692994037
MSFT250703C00430000,2025-06-25 19:10:49+00:00,430.0,62.17,62.2,64.75,0.8499985,1.3861685,6.0,100.0,0.5730023168945313,True,REGULAR,USD,2025-07-03,8.0,-0.0882792389275119,0.8735043971735144
